reference_gene	lifespan
SRR5412210	5.1
SRR306843	122.5
SRR3144810	3.8
SRR1758985	22.8
SRR6206904	5.1
SRR306840	122.5
ERR1101655	3.5
SRR3109717	22.8
SRR5952129	5.1
SRR5120939	122.5
ERR1990032	3.3
SRR1205223	22.1
SRR5190453	20.8
SRR306842	122.5
SRR5190441	20.8
SRR1822406	20.8
SRR489494	20.8
SRR449435	5.1
SRR306753	5.1
ERR476406	3.3
ERR1990037	3.3
SRR3109709	20.0
SRR3109705	20.0
SRR636840	20.0
SRR306742	5.1
SRR3109710	20.0
SRR636935	20.0
SRR636934	20.0
DRR031591	59.4
SRR636839	20.0
SRR4444970	20.0
SRR636945	57.0
SRR1981987	20.0
SRR1047652	40.0
SRR223515	39.0
SRR636896	12.0
SRR1759005	37.6
ERR162267	12.0
SRR3468374	3.9
SRR2308103	36.8
ERR1331715	12.0
SRR636858	3.9
SRR636898	12.0
SRR636952	3.9
SRR306396	31.0
ERR266381	12.0
SRR3468363	3.9
SRR6261040	11.1
SRR5520661	3.8
ERR2716206	30.0
SRR1789057	9.0
SRR5520662	3.8
SRR636950	30.0
SRR6293952	7.9
SRR5520668	3.8
SRR636904	30.0
SRR6293975	7.9
SRR3144830	3.8
SRR653846	27.0
SRR954817	3.8
SRR3160061	27.0
SRR594431	3.8
SRR636938	24.0
ERR266372	6.0
SRR594421	3.8
SRR1300767	23.0
ERR162245	6.0
SRR3144815	3.8
ERR489282	22.8
SRR449436	5.1
SRR3144817	3.8
ERR2074874	22.8
