run,species,tissue,order,family,lifespan_2,code
SRR2308103,Ailuropoda_melanoleuca,Liver,Carnivora,Ursidae,36.8,SRR2308103
SRR1981979,Aotus_nancymaae,Brain,Primates,Aotidae,20,SRR1981979
SRR1981981,Aotus_nancymaae,Liver,Primates,Aotidae,20,SRR1981981
SRR1981987,Aotus_nancymaae,Heart,Primates,Aotidae,20,SRR1981987
SRR1981988,Aotus_nancymaae,Kidney,Primates,Aotidae,20,SRR1981988
SRR636839,Bos_taurus,Liver,Artiodactyla,Bovidae,20,SRR636839
SRR636840,Bos_taurus,Liver,Artiodactyla,Bovidae,20,SRR636840
SRR636934,Bos_taurus,Brain,Artiodactyla,Bovidae,20,SRR636934
SRR636935,Bos_taurus,Brain,Artiodactyla,Bovidae,20,SRR636935
SRR3109705,Bos_taurus,Liver,Artiodactyla,Bovidae,20,SRR3109705
SRR3109709,Bos_taurus,Kidney,Artiodactyla,Bovidae,20,SRR3109709
SRR3109710,Bos_taurus,Kidney,Artiodactyla,Bovidae,20,SRR3109710
SRR1758977,Callithrix_jacchus,Brain,Primates,Callitrichidae,22.8,SRR1758977
SRR1758978,Callithrix_jacchus,Brain,Primates,Callitrichidae,22.8,SRR1758978
SRR1758979,Callithrix_jacchus,Brain,Primates,Callitrichidae,22.8,SRR1758979
SRR1758981,Callithrix_jacchus,Heart,Primates,Callitrichidae,22.8,SRR1758981
SRR1758982,Callithrix_jacchus,Heart,Primates,Callitrichidae,22.8,SRR1758982
SRR1758983,Callithrix_jacchus,Kidney,Primates,Callitrichidae,22.8,SRR1758983
SRR1758984,Callithrix_jacchus,Liver,Primates,Callitrichidae,22.8,SRR1758984
SRR1758985,Callithrix_jacchus,Lung,Primates,Callitrichidae,22.8,SRR1758985
SRR636842,Canis_lupus_familiaris,Liver,Carnivora,Canidae,24,SRR636842
SRR636843,Canis_lupus_familiaris,Liver,Carnivora,Canidae,24,SRR636843
SRR636892,Canis_lupus_familiaris,Kidney,Carnivora,Canidae,24,SRR636892
SRR636893,Canis_lupus_familiaris,Kidney,Carnivora,Canidae,24,SRR636893
SRR636937,Canis_lupus_familiaris,Brain,Carnivora,Canidae,24,SRR636937
SRR636938,Canis_lupus_familiaris,Brain,Carnivora,Canidae,24,SRR636938
SRR489494,Capra_hircus,Brain,Artiodactyla,Bovidae,20.8,SRR489494
SRR1822406,Capra_hircus,Lung,Artiodactyla,Bovidae,20.8,SRR1822406
SRR5190441,Capra_hircus,Kidney,Artiodactyla,Bovidae,20.8,SRR5190441
SRR5190453,Capra_hircus,Liver,Artiodactyla,Bovidae,20.8,SRR5190453
ERR162213,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR162213
ERR162217,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR162217
ERR162222,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR162222
ERR162245,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR162245
ERR162261,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR162261
ERR266353,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR266353
ERR266372,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR266372
ERR266378,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR266378
ERR266393,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR266393
ERR266398,Cavia_aperea,Brain,Rodentia,Caviidae,6,ERR266398
ERR1331683,Cavia_porcellus,Liver,Rodentia,Caviidae,12,ERR1331683
ERR1331712,Cavia_porcellus,Liver,Rodentia,Caviidae,12,ERR1331712
ERR1331715,Cavia_porcellus,Liver,Rodentia,Caviidae,12,ERR1331715
ERR162228,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162228
ERR162229,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162229
ERR162240,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162240
ERR162246,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162246
ERR162251,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162251
ERR162267,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR162267
ERR266373,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR266373
ERR266376,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR266376
ERR266380,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR266380
ERR266381,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR266381
ERR266394,Cavia_porcellus,Brain,Rodentia,Caviidae,12,ERR266394
SRR636846,Cavia_porcellus,Liver,Rodentia,Caviidae,12,SRR636846
SRR636847,Cavia_porcellus,Liver,Rodentia,Caviidae,12,SRR636847
SRR636848,Cavia_porcellus,Liver,Rodentia,Caviidae,12,SRR636848
SRR636896,Cavia_porcellus,Kidney,Rodentia,Caviidae,12,SRR636896
SRR636897,Cavia_porcellus,Kidney,Rodentia,Caviidae,12,SRR636897
SRR636898,Cavia_porcellus,Kidney,Rodentia,Caviidae,12,SRR636898
SRR636941,Cavia_porcellus,Brain,Rodentia,Caviidae,12,SRR636941
SRR636942,Cavia_porcellus,Brain,Rodentia,Caviidae,12,SRR636942
SRR636943,Cavia_porcellus,Brain,Rodentia,Caviidae,12,SRR636943
